# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 32, mean observations per image: 
1 0.8650621175765991 0.43735015392303467 -0.0 -0.24574905633926392 -0.20000000298023224 -0.34599998593330383 0.30000001192092896 1 camera_0.0_1.jpg

2 0.6113508939743042 0.39709606766700745 -0.0 0.6845179796218872 0.4000000059604645 0.0 0.30000001192092896 2 camera_0.0_2.jpg

3 0.1869501769542694 0.3254925608634949 -0.0 -0.9268787503242493 -0.20000000298023224 0.34599998593330383 0.30000001192092896 3 camera_0.0_3.jpg

4 0.704014778137207 0.0 -0.0 0.7101853489875793 0.0 0.0 0.7300000190734863 4 camera_0.0_4.jpg

5 0.4157392382621765 0.8860757946968079 -0.0 -0.20501354336738586 -0.20000000298023224 -0.34599998593330383 -0.30000001192092896 5 camera_0.0_5.jpg

6 0.20489108562469482 0.7981583476066589 -0.0 0.5665358901023865 0.4000000059604645 0.0 -0.30000001192092896 6 camera_0.0_6.jpg

7 0.08684667944908142 0.2753232419490814 0.9439655542373657 -0.15994969010353088 -0.20000000298023224 0.34599998593330383 -0.30000001192092896 7 camera_0.0_7.jpg

8 0.18243302404880524 -2.449917069213825e-08 0.8803932070732117 0.43775105476379395 0.0 0.0 -0.7300000190734863 8 camera_0.0_8.jpg

9 0.8650621175765991 0.43735015392303467 -0.0 -0.24574905633926392 -0.0002050250768661499 -0.39964476227760315 0.30000001192092896 9 camera_0.5235987755982988_1.jpg

10 0.6113508939743042 0.39709606766700745 -0.0 0.6845179796218872 0.3464101254940033 0.20000004768371582 0.30000001192092896 10 camera_0.5235987755982988_2.jpg

11 0.1869501769542694 0.3254925608634949 -0.0 -0.9268787503242493 -0.34620511531829834 0.19964471459388733 0.30000001192092896 11 camera_0.5235987755982988_3.jpg

12 0.704014778137207 0.0 -0.0 0.7101853489875793 0.0 0.0 0.7300000190734863 12 camera_0.5235987755982988_4.jpg

13 0.4157392382621765 0.8860757946968079 -0.0 -0.20501354336738586 -0.0002050250768661499 -0.39964476227760315 -0.30000001192092896 13 camera_0.5235987755982988_5.jpg

14 0.20489108562469482 0.7981583476066589 -0.0 0.5665358901023865 0.3464101254940033 0.20000004768371582 -0.30000001192092896 14 camera_0.5235987755982988_6.jpg

15 0.08684667944908142 0.2753232419490814 0.9439655542373657 -0.15994969010353088 -0.34620511531829834 0.19964471459388733 -0.30000001192092896 15 camera_0.5235987755982988_7.jpg

16 0.18243302404880524 -2.449917069213825e-08 0.8803932070732117 0.43775105476379395 0.0 0.0 -0.7300000190734863 16 camera_0.5235987755982988_8.jpg

17 0.8650621175765991 0.43735015392303467 -0.0 -0.24574905633926392 0.1996448040008545 -0.34620505571365356 0.30000001192092896 17 camera_1.0471975511965976_1.jpg

18 0.6113508939743042 0.39709606766700745 -0.0 0.6845179796218872 0.19999998807907104 0.34641018509864807 0.30000001192092896 18 camera_1.0471975511965976_2.jpg

19 0.1869501769542694 0.3254925608634949 -0.0 -0.9268787503242493 -0.39964479207992554 -0.000205114483833313 0.30000001192092896 19 camera_1.0471975511965976_3.jpg

20 0.704014778137207 0.0 -0.0 0.7101853489875793 0.0 0.0 0.7300000190734863 20 camera_1.0471975511965976_4.jpg

21 0.4157392382621765 0.8860757946968079 -0.0 -0.20501354336738586 0.1996448040008545 -0.34620505571365356 -0.30000001192092896 21 camera_1.0471975511965976_5.jpg

22 0.20489108562469482 0.7981583476066589 -0.0 0.5665358901023865 0.19999998807907104 0.34641018509864807 -0.30000001192092896 22 camera_1.0471975511965976_6.jpg

23 0.08684667944908142 0.2753232419490814 0.9439655542373657 -0.15994969010353088 -0.39964479207992554 -0.000205114483833313 -0.30000001192092896 23 camera_1.0471975511965976_7.jpg

24 0.18243302404880524 -2.449917069213825e-08 0.8803932070732117 0.43775105476379395 0.0 0.0 -0.7300000190734863 24 camera_1.0471975511965976_8.jpg

25 0.8650621175765991 0.43735015392303467 -0.0 -0.24574905633926392 0.34599995613098145 -0.20000003278255463 0.30000001192092896 25 camera_1.5707963267948966_1.jpg

26 0.6113508939743042 0.39709606766700745 -0.0 0.6845179796218872 3.019916050561733e-08 0.4000000059604645 0.30000001192092896 26 camera_1.5707963267948966_2.jpg

27 0.1869501769542694 0.3254925608634949 -0.0 -0.9268787503242493 -0.3460000157356262 -0.19999997317790985 0.30000001192092896 27 camera_1.5707963267948966_3.jpg

28 0.704014778137207 0.0 -0.0 0.7101853489875793 0.0 0.0 0.7300000190734863 28 camera_1.5707963267948966_4.jpg

29 0.4157392382621765 0.8860757946968079 -0.0 -0.20501354336738586 0.34599995613098145 -0.20000003278255463 -0.30000001192092896 29 camera_1.5707963267948966_5.jpg

30 0.20489108562469482 0.7981583476066589 -0.0 0.5665358901023865 3.019916050561733e-08 0.4000000059604645 -0.30000001192092896 30 camera_1.5707963267948966_6.jpg

31 0.08684667944908142 0.2753232419490814 0.9439655542373657 -0.15994969010353088 -0.3460000157356262 -0.19999997317790985 -0.30000001192092896 31 camera_1.5707963267948966_7.jpg

32 0.18243302404880524 -2.449917069213825e-08 0.8803932070732117 0.43775105476379395 0.0 0.0 -0.7300000190734863 32 camera_1.5707963267948966_8.jpg

